id,text,type
11,"Lo odio perché è la perfetta rappresentazione di tutto ciò che c'è di male nel mondo del lavoro. Lavoro in un'azienda che si occupa di servizi bancari, quindi sostituisco ciò che prima veniva fatto in filiale e che ora invece viene esternalizzato.
Lo odio per svariati motivi:

1) per fare il mio stesso lavoro in banca prendono almeno 500 euro in più, quindi per tagliare i costi le banche esternalizzano, non assumono e mandando in prepensionamento i dipendenti.
2) ho un contratto come fotolaboratore, ovvero chi fa scansioni a PC, in realtà faccio finanziamenti e successioni per 3 tra le più importanti banche italiane.
3) come se tutto ciò non bastasse lavoro in collaborazione (o meglio subordinazione) con [CENSURED], che credo sia stata fondata da satana in persona. Devo quindi prendere ordini, dalla mia azienda, da [CENSURED] e dalla banca.
4) ho chiesto un permesso in un anno e me l'hanno negato per paura di dover comunicare al cliente che un dipendente aveva chiesto un permesso.
5) dopo mesi di rinnovi  tra cui uno di 14 giorni, visto che a quanto pare sono bravo ho ottenuto l' inderterminato. Sorpresa delle sorprese, la condizione di privilegiato all'interno dell'attuale società, dovuta al fatto di avere l indetermianto, costa cara in termini monetari. 100 euro in meno al mese rispetto a ciò che prendevo con agenzia, in cambio di una sicurezza di schiavitù a vita. Totale 1200 motivi mensili per odiare il mio lavoro.",1
12,"Perché mi dicono che è una vocazione (ambito sanitario) e quindi bisogna farsi andare bene 10 se non più ore al giorno di lavoro (pagati solo per 7, gli straordinari non ci sono in specializzazione), sacrificando tutto il resto (compresa la salute mentale e fisica).",1
13,"Questi messaggi mi confortano da una parte, sento di non essere sola, ma mi terrorizzano dall'altra. È disumano, non è vivere così.",2
14,"Quest’ultimo punto mi ha fatto piangere: ho lasciato dopo 15 anni il mio lavoro, il mio primo lavoro. Ormai era una situazione tossica, ero stata presa di mira e, presa dall’ansia, sbagliavo sempre di più. Ora sono stata dipinta come il nemico pubblico e chi vuole contattarmi lo deve fare di nascosto. Era per me una famiglia, ora sono orfana.",1
15,"28 anni, architetta: lavoro tanto (a volte anche sabato e domenica) in nero e guadagno poco. Battute continue del tipo ""certo che non riesci a finire il lavoro, tu la notte dormi anziché lavorare"". Facciamo solo bonus, lavori che non sono ne creativi, ne stimolanti, ne imparo cose nuove. Ogni occasione è buona per sminuire le mie competenze appellandosi all mia età al fatto che sono giovane, sembra quasi una colpa.",1
16,Perché sembra che la tua dignità e valore dipendano solo da quello.,2
17,"Io sono convinta che nella cultura generale si sia sviluppato forse una specie di malinteso in questo senso.
Un po' come nelle traduzioni della Bibbia, gli aforismi, essendo brevi e concisi, possono essere vittime di malintesi e abusi di significato, per il semplice fatto che spesso utilizzano parole che possono avere sfumature di sigificato diverse, senza essere meticolosamente precisi. Non è tanto il lavoro (quello in cui ti pagano, in cui dipendi da ordini e opinioni altrui, quello in cui hai un contratto) a nobilitare l' essere umano.
Bisogna cominciare a cambiare forse il termine lavoro con qualcos' altro, perché a nobilitare l' essere umano è qualsiasi attività che risveglia emozioni in noi. È per questo che si dice ""che spesso ci sentiamo stanchi non perché abbiamo fatto troppo ma perché abbiamo fatto troppo poco di quello che ha risvegliato un' emozione in noi, una luce"" un senso quindi.",1
18,"Nessuna area break, aria malsana, open space che non permettono di concentrarsi, razzismo/omofobia dilagante (si utilizza la frase “questa cosa mi sta facendo diventare gay” per descrivere una difficoltà), nessuna fiducia nello smart working e ambiente tossico dove è sempre colpa dell’altro e c’è uno continuo sparlare… poi ci si chiede perchè lo smart working possa essere in parte una soluzione a tutto questo malessere.",1
19,"Nei giorni in cui lavoro, lavoro e basta, questo mi porta ad essere sopraffatta dai ritmi di lavoro e dai discorsi dell'ufficio e dei colleghi anche quando stacco e vorrei fare qualcosa per me. Da quando ho iniziato a lavorare riesco a leggere dei libri solo quando sono in ferie ad esempio. Il tempo libero è utilizzato esclusivamente per riprendersi dalla stanchezza del lavoro.",1
20,"Privazione di tempo, salario uguale da
11 anni non adeguato al costo della vita. Se la risposta alla richiesta di un aumento è stata no anni fa, figuriamoci post covid con lavoro raddoppiato a causa di tagli di costi su ogni tipo di servizio di supporto, comprese le pulizie. salari inferiori a quelli dei colleghi uomini e ai miei superiori (gap immenso e senza senso). La colpevolizzazione nel chiedere di poter usifruire dei miei diritti di lavoratrice.l’etica del vivere per il lavoro e la mancanza di limiti tra il lavoro e la vita privata (email inviate alle 10 di sera, telefonate nel giorno libero e il dover di fatto lavorare fuori dall’orario perché il troppo e disorganizzato lavoro non ti permettere adempiere a tutte le task nella normale giornata lavorativa).",1
21,"Al momento faccio l'insegnante alle superiori, sono fortunato e questo lavoro lo amo. Ho però passato anche qualche esperienza in azienda, e lì non è che un altro nome della schiavitù. In un posto avevo un contratto senza orari e pretendevano che rispettassi gli orari degli altri: ribellato. Altro posto: i rapporti sono malsani, la realtà è distorta, è tutto orientato a mantenere la schiavitù come tale. Ad un certo punto stavo male ogni mattina appena sveglio: me ne sono andato poco dopo.",1
22,"In termini generali il lavoro impegna gran parte del tempo a disposizione di una persona lasciando pochissimo tempo e soprattutto energie da dedicare alle proprie passioni o alla propria formazione personale (se togli il tempo in cui lavori e quello necessario a “ricaricare le pile” sia a fine giornata, sia nel weekend, di tempo ne rimane davvero poco).",1
23,"Vi ringrazio per aver aperto uno spazio di confronto su questo argomento, è bello poterne parlare senza essere additati come pigri o persone con poca voglia di lavorare o ancora persone non disposte a fare dei sacrifici, quindi grazie!",1
24,"Faccio la prof universitaria, sono in una posizione molto privilegiata perche guadagno bene, ma ho un contratto a tempo fino a che non ottengo la ""tenure"" e per ottenerla gli standard sono molto alti, molto stressante, questo ora che ho 34 anni e sto cercando di crearmi una famiglia… certi giorni vorrei esplodere. Ma cerco di non lamentarmi perche so che in altre università in Italia si guadagna un quinto rispetto a quanto percepisco attualmente, in generale il lavoro in italia non è ben remunerato.",1
25,Ho colleghe umanamente inaridite dalle logiche consumistiche e dello star system. Fanno e dicono cose di cui non si può non rimanere sconvolti. Penso ogni giorno al fatto che non voglio essere l’artefice di comportamenti indirizzati alla smania dell’acquisto compulsivo.,1
26,"Sono una studentessa che lavora part time in una profumeria. Sono laureata in lingue e sto facendo una magistrale in scienze politiche, questo per dire che non è un lavoro che sento mio, ma mi trovo abbastanza bene. Quello che mi dà fastidio principalmente è l'atteggiamento delle mie colleghe nei confronti dei clienti, come se ci fossero clienti di serie A e clienti di serie B. Il cliente di serie A è quello che ha intenzione di comprare merce costosa e dunque da loro viene assistito e lusingato. Il cliente di serie B è quello che ha un budget limitato o comunque preferisce qualcosa di economico e anche solo la sua presenza sembra infastidire le mie colleghe, che  spesso lo criticano e non lo assistono o lo assistono in maniera sbrigativa. Trovo profondamente ingiusta questa differenziazione.
Inoltre non è un lavoro che sento mio perché consiste letteralmente nel convincere le persone a spendere soldi per qualcosa di cui non hanno davvero bisogno e sento che sto contribuendo ad alimentare un consumismo e un capitalismo che ideologicamente condanno.",1
27,"Mi chiedo se, quei superiori che intimoriscono, siano stati sempre così bravi in tutto? Odio chi non si mette più nei panni di chi è all'inizo, di chi sta imparando",2
28,"10/15 mila km al mese in furgone per un lavoro logrante e senza la benché minima soddisfazione, 1300 euro e 500 di affitto, scuole serali per diplomarmi (sempre in ottica lavorativa).
Una vita totalmente assorbita dagli impegni con una vita sociale inesistente, è davvero difficile amare una vita del genere… In più non ho potere decisionale perché vengo chiamato a lavoro con un preavviso inferiore alle 24 ore, senza festivi e lavorando tutte le domeniche…. Per il mio capo sono un lavoratore fortunato, perché ha come metro di paragone i corrieri [CENSURED]",1
29,"""Almeno hai un lavoro"" e magari stai subendo le angherie del datore di lavoro, non sai se verrai pagato regolarmente, fai straordinari gratis, hai paura di non prendere la tredicesima..ecc.",1
30,"Sono un medico e lavoro in una RSA. Siamo in pochi medici quindi se sto a casa lascio tutto il lavoro sulle spalle dei colleghi. Quindi prendo poche ferie e lavoro anche se sto male e non perché sia una libera professionista... Il mio problema con i sensi di colpa non aiuta. 
Quando sono reperibile nei weekend non ho un giorno di pausa, quindi di fatto lavoro 14 giorni di fila. È vero che la domenica non vado fisicamente, a meno che ci sia un'urgenza, però stare sempre con il telefono accanto e non sentirmi libera mi stressa. 
Questo periodo di covid ha esasperato il tutto.",1
31,"Entrambi i miei genitori dipendono economicamente dai loro nuovi coniugi, perché non riescono a trovare un'occupazione che permetta loro di conciliare lavoro e famiglia, in parte perché non hanno i giusti titoli di studio. Questo li fa sentire una parte poco utile e marginale della società e influenza negativamente il loro vivere quotidiano, soprattutto nell'aspetto psicologico. Inoltre si sentono perennemente in una situazione di incertezza sul futuro, perché, si sa, è accumulare un proprio patrimonio che garantisce un avvenire sicuro. Io trovo tutto questo ingiusto e non nascondo che spesso mi trovo ad essere preoccupata all'idea di dover affrontare il mio futuro, sapendo che quasi ogni aspetto della mia vita verrà condizionato dal mio lavoro e dalle mie capacità economiche.",1
32,Odio il mio lavoro così tanto che piuttosto di continuare ho deciso di licenziarmi.,2
33,"Ciao! Premetto che ho lavorato la maggior parte della mia vita all'estero e solo due anni in Italia. Premetto anche che sono una persona che ha spesso bisogno di cambiare per cui ho fatto lavori sempre diversi. Ho tre lauree ""inutili"" in letteratura inglese e film e visual media. Non ho mai pensato di essere particolarmente portata a nulla ma riuscivo a fare più o meno tutto. Per persone come me,appassionate di tutto e nulla,il mondo del lavoro,soprattutto in Italia, è un incubo. Il fatto di aver vissuto,lavorato e studiato in tutto il mondo, al posto di un valore aggiunto diventa una sorta di fardello perché ""si  che figo viaggiare ma hai più di 30 anni e ancora non sai che vuoi fare,non hai trovato il tuo posto nel mondo o meglio,non hai trovato il tuo posto nel mondo della produttività per cui che sfigata sei!a sta ora avresti già dovuto blablabla...io so chi sono,e so che sono tagliata fuori. Non mi sono sentita quasi mai a mio agio in nessun mondo del lavoro principalmente perché non mi sono mai sentita valorizzata in quanto persona con un bagaglio vario e umano. Ho sempre lavorato per qualcun altro e a quel qualcun altro non fotteva nulla di me. Ero solo una persona in più in una macchina mangia tempo ed energie. Sono povera e jobless ma non ce la faccio a sentirmi nessuno cinque giorni su sette. Ho preferito vivere con nulla e riprendere me stessa. Vedo molto buio davanti ma so che vedrei ancora più buio all interno di questo mondo del lavoro. Grazie del lavoro che fai,ciao!!!",1
34,Grazie perché non mi sento più l’unica..,2
35,"Lavoro all'aeroporto di [CENSURED]. Hostess a terra.Il lavoro è pesante. La gente sta impazzendo (nostro problema + grande dalla pandemia , è la sicurezza nostra.. gente che non si informa cosa richiedono i paesi e se la prende con noi), i turni massacranti (il primo sveglia alle 2.30/3 perché non pagano le notti intere e la sveglia a quell ora 3/4 volte a settimana  DISUMANA) ma nOn è neppure considerato lavoro logorante (bidelli si!). Se sei madre (quasi tutte..è un lavoro 90%femminile) è un incubo. Fai 3 mattine (alle 3/4 del mattino) 2 sere  alla settimana , riposi a scalare ergo diversi ogni settimana..gia impazzisco io..non trovo babysitter che impazziscano come me per turni e riposi sempre diversi. Li iscrivo a qualcosa, non so se avrò il turno giusto per farli frequentare. Ad ogni vacanza scuola noi abbiamo blocco ferie (no ferie a natale,pasqua e solo 10 giorni da 1/6 al 30/9) stipendio base. Senza notturni è come impiegata . Soffro i limiti che rovinano la mia vita privata e il logorio fisico!..",1
36,"Lavoro con partita IVA presso un ufficio tecnico come collaboratrice, ma con  l'obbligo di restare 8 ore in ufficio (praticamente condizioni da dipendente senza però i benefici di essere tale).
Odio dover fissare uno schermo per 8 ore senza (spesso) avere nulla da fare, per uno stipendio abbastanza ridotto, quando potrei essere da tutt'altra parte a coltivare i miei veri interessi.
Odio il fatto che io debba rendermi sempre disponibile in caso di ""urgenze"" (perché, a quanto pare, i liberi professionisti devono farlo, indipendente dall'attività che svolgono), anche quando voglio prendermi quelle poche settimane di ferie che mi concedo all'anno.
E alla base di tutto, odio la mentalità che mi ha portato a scegliere una scuola che sì, mi avrebbe permesso di avere più possibilità lavorative, ma che mi ha destinata soltanto ad un lavoro che mi renderà sempre più infelice e mi permetterà a malapena di mantenermi.",1
37,"Ecco il mio pensiero:
troppe ore della mia vita “buttate” per arricchire un capo già milionario. Chiedo aumento e ottengo buoni pasto con scusa che perderei il bonus renzi. Buoni pasto non vengono dati in smartworking.",1
38,"Odio il lavoro perché sono sempre stata sottopagata. Ho una laurea triennale e sognare un lavoro che si adatti ai miei studi non è ancora possibile... Aspetta la magistrale per diventare precaria. 2019, ristorante, io e un altro cameriere, io 30€ al giorno, lui 40€ al giorno. Mi spacco il culo, un giorno mi lasciano la mancia. La lasciano in cassa: il proprietario padrone se ne appropria. Vabbè, ci sono le mance guadagnare durante la stagione, no? Durante la divisione, i due machi (chef e metre) si radunano soli per dividere equamente le mance.. Su tre mesi di mance, io so quanti soldi avevamo guadagnato, e tanti, in busta mi ritrovo 10€. Lo chef, porgendomi la busta, mi dice con sorrido beffardo 'andrà meglio l'anno prossimo'. Odio lavorare.",1
39,Devo dire che siamo messə bene… quando cazzo ci uniamo e ribaltiamo tutto?,1
40,"Una riflessione su questo. Spesso a me e ad altre persone è stato detto: “cerca di viverla con più distacco e prendere meno a cuore le cose, o non riesci più a separarti dal tuo lavoro”. E sicuramente è vero: perché mi devo crucciare per qualcosa al punto da non dormirci la notte se poi tanto la persona che si arricchisce di più dal mio cruccio non sono io? 
Allo stesso tempo però queste frasi, per quanto dette in buona fede, spostano il focus dall’ambiente all’individuo: perché devo essere io ad avere meno ansia, e non l’ambiente di lavoro a essere meno deleterio per la mia salute (fisica e mentale)? Ancora una volta la narrazione sottile è: siete voi a essere troppo fragilini, non l’ambiente di lavoro troppo spietato e disumanizzante.",1
41,"Il non lasciare abbastanza spazio allo svago e alla vita privata, agli affetti, e per affetti sono da intendersi non solo verso partner,figli, ma anche gli animali domestici.",2
42,"Il cliché del ""lavorare duro"", che dovrebbe essere ormai soppiantato dal lavorare smart, non è la fatica in sé che porta a buoni risultati.",2
43,"Non c’è spazio per la vita personale: le ferie non si possono prendere fuori dalle chiusure aziendali (agosto), non si ha fiducia nello Smart working, resiste il paradigma più lavori oltre l’orario più sei bravo e meritevole.",1
44,"Odio il modo in cui con nonchalance hanno sostituito i diritti con “fresh snacks, great office and amazing team events”. Non me ne frega nulla delle mele e della frutta secca in una location super trendy dove devo necessariamente felice insieme ad altri sfruttati come me.
Veramente basta. 
Ho avuto la fortuna di abbandonare la vita d’ufficio ma vivo nel terrore di doverci tornare.
Al momento lavoro da casa e mi tengono per costo troppo poco per sostituirmi. Ma ho l’ansia di dover ricominciare da zero per l’ennesima volta a 37 anni.",1
45,"Io faccio l’infermiera, mi piace il mio lavoro ma lo odio se devo farlo come se fossi un’operaia di una catena di montaggio.. e in alcuni reparti è così, importa solo portare a termine compiti, far firmare carte e non si ha tempo per la relazione terapeutica.. senza parlare di dover lavorare a turni tutta la vita.",1
46,"Ci viene chiesto di essere lavoratori prima che esseri umani, per di più per un lavoro che nella gran parte dei casi è fonte di instabilità e insoddisfazione.",2
47,"Il fatto di non poter decidere del mio tempo es. anche da remoto ho dovuto rispettare gli orari rigidi, non posso cambiare la distribuzione del mio orario giornaliero mantenendo il tempo pieno nè posso ottenere con certezza un part time e anche in quel caso dovrei scegliere tra uno schema di orari prestabiliti, non posso utilizzare le ferie o i permessi quando mi servono ma solo se il capo è d'accordo, non chiedo permessi per svagarmi ma solo in caso di necessità perché i colleghi ti etichettano come fancazzista. Ho avuto difficoltà a prendere ferie o permessi anche con un genitore anziano malato (sono figlia unica lontanissima da casa).",1
48,Odio il lavoro perché purtroppo pochi lavori hanno utilità sociale. Il mio non ce l’ha. La maggior parte delle persone lavora per alimentare questo sistema malato di consumismo e per far arricchire il padrone svendendo il proprio tempo.,1
49,"Per ottenere un lavoro dignitosamente pagato devi avere due lauree 3 master e un dottorato, quando ci sei riuscito a [CENSURED] per avere un tenore di vita normale fai fatica ad arrivare a fine mese. Di fatto torni a casa la sera hai quelle 3 ore di tempo libero e sai che la mattina torni di nuovo in quella dimensione parallela che non è la tua vita.",1
50,"Sono PostDoc all'Università. Probabilmente il fatto che la mia vita lavorativa e di conseguenza personale/affettiva è completamente in mano a una sola persona. Se il mio capo sbaglia, politicamente nel contesto universitario o scientificamente, io ho finito di lavorare. Con tutti i sacrifici fatti eh, da lavorare sere/weekend sotto costante pressione e riempito di responsabilità fino al midollo. Senza parlare del fatto che all'Università non subisce controlli, i laboratori (sono chimico) non rispettano neanche lontanamente gli standard essenziali di sicurezza, e chissà di quale malattie si morirà tra solventi e sostanze chimiche inalate. Sempre che non sia il precariato a ucciderci prima.",1
51,"Ciao! In risposta al tema cosa odi del tuo lavoro:

Odio sentirmi costantemente inadeguata. Sono nuova nel mondo d’ufficio e mi sono da subito dovuta scontrare con lo standard di performance lavorativa che che non posso (nè mi interessa) raggiungere perchè ho da sempre problemi di attenzione e ho bisogno di tempo per svolgere i miei task.  Per quanto il mio team sembri da fuori accomodante, in realtà ho presto scoperto che gli errori non sono ammessi e vengo subito ripresa per ogni virgola fuori posto. Mi sento costantemente addosso l’ansia di fare qualsiasi cosa e dover provare che non sono errori di superficialità (sto attaccata allo schermo tutto il giorno). Odio dunque arrivare a fine giornata morta e sempre con l’ansia, sognare di notte email e non avere tempo per godermi altri aspetti della mia vita che vorrei non solo coltivare ma prioritizzare come banalmente i mie affetti e il mio benessere. Da quando lavoro full time mi rendo conto di essere molto più impaurita,
perchè  visto che non so come conquistare la fiducia dei miei colleghi per i miei ripetuti errori, nonostante tutti i miei sforzi, mi faccio piccola con tutti anche fuori da lavoro. Grazie per la ricerca che stai facendo, ci tocca tutt* tantissimo!",1
52,"Credo sia una peculiarità italiana e in vento una piaga. Se non muori di fatica o se pretendi un giusto compenso, sei uno che non vuole lavorare. Una gioventù scansafatiche che non vuole fare la gavetta. Blah schifo",1
53,"Buonasera, sono architetta libera professionista, esercito in provincia di [CENSURED] e ritengo di trovarmi in una condizione privilegiata, gestisco i miei lavori e sta andando bene ma ultimamente le responsabilità sono aumentate esponenzialmente per via delle nuove normative tipo superbonus ecc. Siamo costretti ad accettare questi incarichi perché ultimamente gira tutto intorno a questo anche per effetto della comunicazione semplicistica data dai mezzi di informazione che spingono le persone a pensare che possa essere tutto gratuito. Lavoro per una fascia di popolazione economicamente medio bassa per cui l'aspetto economico è di primaria importanza. Mi trovo ad odiare il mio lavoro perché non dormo più, sono sempre con la mente sul lavoro, o meglio sui problemi legati al lavoro. Non mi viene più richiesto di fare ""solo"" l'architetta, di saper costruire, ma anche di saper comunicare con i clienti in modo adeguato proprio per non deludere le loro aspettative, Di saper maneggiare le normative fiscali, Di saper mettere insieme oscillazioni del mercato, forniture e disponibilità dei prodotti, rispetto dei budget. Tutto questo mi causa uno stress che mi porta a sentirmi inerme, a non comprendere più dove finisca la mia responsabilità e finisca quella degli altri. Non riesco ad aggiornarmi adeguatamente e non mi sento più di agire professionalmente. Sto perdendo la creatività, le vere ragioni per cui ho fortunatamente potuto scegliere questo lavoro stanno venendo meno. Se mi guardo intorno però non credo di poter trovare molto di meglio. Il mio lavoro comunque non mi consente di pensare al futuro a lungo termine. Grazie per tutto quello che fa e per quello che scrive, trovo che sia sempre molto condivisibile e, comunque la si pensi, molto ben argomentato e spiegato. Buona serata, [CENSURED] (33 anni, [CENSURED) 
Mi scuso per l'italiano sgrammaticato ma sono molto stanca e per me scrivere di getto è complicato, dovrei ricontrollare mille volte e sui social mi riesce difficile.Ah, ecco, sono anche sempre molto stanca per via del lavoro. Sono seguita da una psicologa e a breve da uno psichiatra, altrimenti non ce la potrei fare. Vivo crisi di panico e mi sento in colpa a svolgere attività diverse dal lavoro, il tempo libero sta diventando tempo tolto al lavoro. E io non ho orari, posso autogestirmi. Quindi la tentazione di lavorare sempre è grande anche se so che fisicamente non posso reggere.",1
54,"Buonasera, ti seguo con molto interesse ma ogni tanto sono combattuta sui temi che affronti. Questo perché vedo i due lati della medaglia: io lavoro da dipendente e i miei genitori proprietari di una piccola impresa. Io che ho subito mobbing e molte altre ingiustizie, loro che fanno da sempre mille sacrifici e subiscono tassazione e regole a volte folli. In modo diversi, siamo vittime di un sistema sbagliato. Io non odio il mio lavoro in sé, forse sarò ""assuefatta"" ma in condizioni ideali mi piace pure. Quello che odio sono le ingiustizie che ho subito per arrivare qui: lavorare gratis, subire minacce, insulti, vivere nell'ansia totale, sviluppare una malattia da stress. Mi fu pure chiesto di rinunciare ai miei hobby perché poi ""mi stancavo"" e non ero efficiente. É chiaro che odio tutto questo, ed é facile intuire il mio pensiero politico/ideologico.
Tuttavia poi vedo i miei genitori, persone oneste e gran lavoratori, che sí, hanno condizioni economiche migliori di un dipendente, ma rinunciano a molte più cose in termini di tempo, libertà, passioni e spesso non dormono per le responsabilità. É vero che siamo in provincia e lontani dal concetto di ""manager con il macchinone"", ma l'Italia é fatta di tante piccole realtà come questa. E quindi mi é un po' più difficile schierarmi in modo netto. La differenza la fanno le persone. E da ciò che ho vissuto, più sono anziane, poco istruite, tendenzialmente mai uscite dal loro piccolo mondo...più si comportano male con i dipendenti. Spero in un ricambio generazionale che sia la svolta. Illusione?",1
55,"Essere cresciuta in un contesto (generazione millenial) in cui se lavori a condizioni pessime devi solo ringraziare per l'opportunità data. L'accettare questa dinamica da molte persone ha portato a una situazione da cui è difficile svincolarsi. L'unica strada, per me, è non accettare, a costo di rischiare (di trovare di meglio).",1
